county_fips,county_name,penndot_district
001,Adams County,8
003,Allegheny County,11
005,Armstrong County,10
007,Beaver County,11
009,Bedford County,9
011,Berks County,5
013,Blair County,9
015,Bradford County,3
017,Bucks County,6
019,Butler County,10
021,Cambria County,9
023,Cameron County,2
025,Carbon County,5
027,Centre County,2
029,Chester County,6
031,Clarion County,10
033,Clearfield County,2
035,Clinton County,2
037,Columbia County,3
039,Crawford County,1
041,Cumberland County,8
043,Dauphin County,8
045,Delaware County,6
047,Elk County,2
049,Erie County,1
051,Fayette County,12
053,Forest County,1
055,Franklin County,8
057,Fulton County,9
059,Greene County,12
061,Huntingdon County,9
063,Indiana County,10
065,Jefferson County,10
067,Juniata County,2
069,Lackawanna County,4
071,Lancaster County,8
073,Lawrence County,11
075,Lebanon County,8
077,Lehigh County,5
079,Luzerne County,4
081,Lycoming County,3
083,McKean County,2
085,Mercer County,1
087,Mifflin County,2
089,Monroe County,5
091,Montgomery County,6
093,Montour County,3
095,Northampton County,5
097,Northumberland County,3
099,Perry County,8
101,Philadelphia County,6
103,Pike County,4
105,Potter County,2
107,Schuylkill County,5
109,Snyder County,3
111,Somerset County,9
113,Sullivan County,3
115,Susquehanna County,4
117,Tioga County,3
119,Union County,3
121,Venango County,1
123,Warren County,1
125,Washington County,12
127,Wayne County,4
129,Westmoreland County,12
131,Wyoming County,4
133,York County,8
