STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000067892,91,NEW HANOVER SQ. RD,BRANCH OF SWAMP CREEK,GILBERTSVILLE 3028B03,9.0,9.0,9.0,2022.0,1403.0,0.971246,1,100.0,Very high
000000000069579,91,WARMINSTER ROAD,PENNYPACK CREEK,HATBORO          3259-D04,9.0,9.0,9.0,2023.0,14386.0,0.968122,2,100.0,Very high
000000000068088,91,MARKLEY STREET,STONY CREEK,.1 MI. N. MAIN ST 3367E02,9.0,9.0,9.0,2021.0,27507.0,0.964675,3,100.0,Very high
000000000057457,101,INTERSTATE 95 (SB),CAMBRIA STREET,N.OF LEHIGH AVE.  3591C04,9.0,9.0,9.0,2023.0,66507.0,0.960807,4,100.0,Very high
000000000057501,101,INTERSTATE 95 (SB),ARAMINGO AVENUE,GIRARD INTC. 3591A05,9.0,9.0,9.0,2020.0,66507.0,0.960057,5,100.0,Very high
000000000057492,101,INTERSTATE 95 (SB),"PALMER,MONTGOMERY,BERKS",NEAR CUMBERLAND ST3590K05,9.0,9.0,9.0,2020.0,66507.0,0.959773,6,100.0,Very high
000000000068775,91,MILL CREEK ROAD,MILL CREEK,0.33MI NE OF US30 3478-E7,9.0,9.0,9.0,2024.0,9898.0,0.959758,7,100.0,Very high
000000000006971,17,TRAFFIC ROUTE 309,SEPTA (BETHLEHEM BRANCH),EAST OF TELFORD    20D07,9.0,9.0,8.0,1967.0,30042.0,0.959325,8,100.0,Very high
000000000068833,91,PLYMOUTH ROAD,WISSAHICKON CREEK,0.9 Mi SE US-202 3256-K1,9.0,9.0,9.0,2022.0,6063.0,0.956892,9,100.0,Very high
000000000057434,101,RAMP D-S.B. ON,"SPUR A,SEPTA,GIRARD,RP B",GIRARD INTERCH.   3591A05,9.0,9.0,9.0,2020.0,16404.0,0.956548,10,100.0,Very high
000000000068914,101,I-95NB OFF RAMP A,FRANKFORD CREEK,BETSY ROSS INTERCH3591G01,9.0,9.0,9.0,2023.0,14950.0,0.95648,11,100.0,Very high
000000000068596,17,ROUDENBUSH ROAD,KIMPLES CREEK,2 MI NW SR563 ADC 2696-H5,9.0,9.0,9.0,2021.0,200.0,0.955167,12,99.9,Very high
000000000068361,133,I-83; SR 0083 NB,SR 0851 EB & WB,0.7 MI.E. OF SHREWSBURY,9.0,9.0,8.0,2021.0,20385.0,0.954808,13,99.9,Very high
000000000069101,91,OTTS ROAD,MACOBY CREEK,0.1 Mi E SR0663 2805-B6,9.0,9.0,9.0,2022.0,750.0,0.95423,14,99.9,Very high
000000000069001,101,INTERSTATE 95,VAN KIRK STREET,NEAR CARVER STR.  3482A08,9.0,9.0,9.0,2024.0,280088.0,0.95345,15,99.9,Very high
000000000069604,45,New Road,W Branch Chester Creek,.6MI.WEST PA-452  25-F3,9.0,9.0,9.0,2024.0,1415.0,0.952666,16,99.9,Very high
000000000068349,107,PA 443(LR 140),Schuylkill River,COLUMBIA STREET,9.0,9.0,9.0,2024.0,10818.0,0.952391,17,99.9,Very high
000000000070027,45,MANCHESTER ROAD,RIDLEY CREEK,1.1 Mi W SR252 ADC 3696H6,9.0,9.0,9.0,2024.0,5234.0,0.951955,18,99.9,Very high
000000000068925,101,RAMP D (SB),CONRAIL,(BRI) RAMP D  3591G01,9.0,9.0,9.0,2023.0,10471.0,0.9519,19,99.9,Very high
000000000068985,101,INTERSTATE 95,COMLY STREET,NR.VAN KIRK ST.   3482A08,9.0,9.0,9.0,2024.0,280088.0,0.951898,20,99.9,Very high
000000000068152,91,CONGO ROAD,MIDDLE CREEK,GILBERTSVILLE 2915E07,9.0,9.0,9.0,2022.0,850.0,0.949633,21,99.9,Very high
000000000013421,39,"T-751,CREEK ROAD",OVER CUSSEWAGO CREEK,"0.25 MI.E.TR-98,CUSSEWAGO",9.0,5.0,5.0,1910.0,250.0,0.949463,22,99.9,Very high
000000000069389,45,Tribbett Avenue,Hermesprota Creek,1.3 Mi S SR13 ADC 29-B3,9.0,9.0,9.0,2024.0,1301.0,0.949106,23,99.9,Very high
000000000010450,29,SAGINAW ROAD,BIG ELK CREEK,NEAR HICKORY HILL  52D6,8.0,8.0,9.0,1925.0,484.0,0.947884,24,99.9,Very high
000000000069937,45,GLEN RIDDLE ROAD,CHROME RUN,1MI.WEST PA 352    33H09,9.0,9.0,9.0,2024.0,4353.0,0.947698,25,99.9,Very high
000000000069918,75,SHIRKSVILLE ROAD,EARLAKILL CREEK,2.1 E SHIRKSVILLE/EARKILL,9.0,9.0,9.0,2023.0,420.0,0.94756,26,99.9,Very high
